"Gupapuyngu","ṉarrgi'ṉarrgi","Sugar Glider"
"Gupapuyngu","baṉbalŋu","Death adder"
"Gupapuyngu","narrgi'narrgi","Sugar Glider"
"Gupapuyngu","wäraŋ","Sugar Glider"
"Gurindji","pulykuwuny","Death Adder, Five-Minute Snake"
"Gurindji","yulirriny","Death Adder, Five-Minute Snake"
"Guwar","dumirbi","koala"
"Injinoo","uteena (At), wadhuuyn","cassowary"
"Injinoo","uteena (At), wadhuuyn","cassowary"
"Jaminjung","bulurr","Death adder"
"Jawoyn","brerk","Death adder"
"Jawoyn","lambalk","Sugar Glider"
"Jingulu","yalbawurrini","bilby"
"Jingulu","yaningkini","bilby"
"Jiringayn","kambawa","koala"
"Kamilaroi","guda","koala"
"Karree","gulu-wayin","koala"
"Katthang","Goo-la","koala"
"Kaytetye","artnangke","bilby"
"Keerraywoorroong","boopoop","bilby"
"Keerraywoorroong","kuurangdat neung","koala"
"Keerraywoorroong","wirn'gill","koala"
"Keerraywoorroong","wirngill","koala"
"Keerraywoorroong","wirn'gill","koala"
"Keerraywoorroong","wring-gel","koala"
"Keerraywoorroong","baikyan-mum","koala"
"Keerraywoorroong","winggal","koala"
"Keerraywoorroong","winggil","koala"
"Keerraywoorroong","wirringill","koala"
"Keerraywoorroong","wirngill","koala"
"Keerraywoorroong","wirn'gill","koala"
"Keerraywoorroong","wirngill","koala"
"Keerraywoorroong","wirn'gill","koala"
"Keerraywoorroong","wring-gel","koala"
"Keerraywoorroong","baikyan-mum","koala"
"Keerraywoorroong","winggal","koala"
"Keerraywoorroong","winggil","koala"
"Keerraywoorroong","wirringill","koala"
"Keerraywoorroong","wirngill","koala"
"Keerraywoorroong","wirn'gill","koala"
"Keerraywoorroong","wirngill","koala"
"Keerraywoorroong","wirn'gill","koala"
"Keerraywoorroong","wring-gel","koala"
"Keerraywoorroong","baikyan-mum","koala"
"Keerraywoorroong","winggal","koala"
"Keerraywoorroong","winggil","koala"
"Keerraywoorroong","wirringill","koala"
"Keerraywoorroong","wirngill","koala"
"[KML]","Mooruk","cassowary"
"Kogung","Burrabee","koala"
"Kogung","Boorabee","koala"
"Kogung","Burroor","koala"
"Kogung","Burrabee","koala"
"Kogung","Boorabee","koala"
"Kogung","Burabi","koala"
"Kogung","Boorabie","koala"
"Kogung","Donggerry","koala"
"Kukatja","muwa","Death adder"
"Kukatja","ngalya-wiltirrpa","Death adder"
"Kukatja","karntawarra-wara","Death adder"
