"Ngadjan","-17.74","145.742","Dyirbalic"
"Ngadjumaja","-32.51750230564929","123.8164105834768","Mirniny"
"Ngandi","-14.08540035556707","135.3815376655781",""
"Ngarigu","-36.30008261002627","148.7238073479325","Yuin-Kuri"
"Ngarigu (Southern)","-36.30008261002627","148.7238073479325","Yuin-Kuri"
"Ngarinyin","-15.98488582597139","126.572752653003","Wunambalic"
"Ngarinyman","-16.97501635557439","131.936201654068","Ngumpin-Yapa"
"Ngarla","-20.37356029180341","118.8259442983016","Ngayarta"
"Ngarluma","-21.61387682504688","116.8408977951115","Ngayarta"
"Ngiyambaa","-31.2766441735444","146.0548387522279","Central NSW"
"Ngiyampaa","-31.2766441735444","146.0548387522279","Central NSW"
"Ngunawal","-35.00795149695576","148.5035147643456","Yuin-Kuri"
"No. Walmatjarri [O'Grady]","-19.85264617913586","125.5392488509774","Ngumpin-Yapa"
"Northern Mangarla","-19.492","123.84",""
"Numinbah Valley","-28.4374","153.301","Bandjalangic"
"Nunggubuyu","-13.8","135.82",""
"Nyikina","-18.20260281899327","124.2885678663105","Eastern Nyulnyulan"
"Nyiyabali, So. Nyangumarda (Ngulibardu -Klokeid)","-23.38847790250841","119.9251173173151","Ngayarta"
"Nyungar","-33.37907220924346","117.86709642676","Nyungar"
"Obtained from J.J.B. Narrandera, the Names of Places, &c., with Meanings",,,
"Ogunyjan","-16.54391506787638","143.0454776248882","Paman"
"Omeo","-36.58163686740664","147.6589937450724","Yuin-Kuri"
"Origin of Aboriginal Words",,,
"Paakantyi","-31.12813021036683","144.223567749524","no subgroup defined"
"Pakanh","-15.05","142.85","Paman"
"Pallanganmiddang","-35.03278178925101","149.3371078583628","Gippsland"
"Peak Downs District","-21.94908953316595","147.5185368851508","Maric"
"Pitjantjatjara","-25.97129593973661","130.0189561520295","Wati"
"Pitjantjatjara/Yankunytjatjara","-25.97129593973661","130.0189561520295","Wati"
"Proto-Paman (Hale)","","","no subgroup defined"
"Rembarrnga","-13.15456145628969","134.3934423686324",""
"Ritharngu","-13.0913471605575","136.0384241243396","Yolŋu"
"Southern Ngarigu","-36.30008261002627","148.7238073479325","Yuin-Kuri"
"Sydney","-33.52925837364595","150.3490463944895","Yuin-Kuri"
"Tagalag","-18.196562","143.026043","Paman"
"Thanggatti","-30.9435045168665","152.1724551029703","Yuin-Kuri"
"Thawa","-37.06227181167917","149.7169305983786","Yuin-Kuri"
"Thaynakwith","-12.58","141.96","Paman"
"The Canberra Language","-35.00795149695576","148.5035147643456","Yuin-Kuri"
"The Lower Macleay River","-31.2766441735444","146.0548387522279","Central NSW"
"Tiwi","-11.67882940200257","130.8353696485389",""
"Turrbal",,,
"Tyattyalla","-36.18645454172683","141.7889432573575","Kulin"
"Umpila","-13.48164763463967","143.5323774125327","Paman"
"Umpila (dialect from John Butcher)","-13.48164763463967","143.5323774125327","Paman"
"Ungaringyin","-15.98488582597139","126.572752653003","Wunambalic"
"Upper Clarence River","","",""
"Vocabulary of Aboriginal Dialect, Upper Clarence RIver, the Aboriginal Words Being Spelt Phonetically","","",""
"Waalubal","-28.70539723779633","152.988993861286","no subgroup defined"
"Wadjabangayi","-23.2728232475186","145.6888448484164","Maric"
"Wailwan","-30.477","147.58","Central NSW"
"Wakka Wakka","-27.06308169131166","148.9493193574443","Waka-Kabi"
"Walmajarri","-19.85264617913586","125.5392488509774","Ngumpin-Yapa"
"Wambaya","-18.16780391482085","135.271465207953",""
"Wardaman","-15.53064370478431","131.8788656745995","non-Pama-Nyungan"
"Wargamay","-18.4","145.877","Dyirbalic"
"Warlmanpa","-18.30600529674386","132.4339939729606","Ngumpin-Yapa"
"Warnman","-22.00041800774719","124.0387198550533","Wati"
"Warrnambool","-38.345","142.4608","Bungandidj"
"Warumungu","-19.08616818875073","134.54628238273","Warumungic"
"Warura",,,
"Wathawurrung","-37.68777565058624","144.1013148178479","Kulin"
"Western Bandjalang","-28.69783051795294","151.9693703525627","Bandjalangic"
"Wik-Mungkan","-22.48008965155842","128.9740522388023","Paman"
"Wiradhurri","-33.72620501677175","147.0281347375677","Central NSW"
"Wiradjuri","-33.72620501677175","147.0281347375677","Central NSW"
"Wirangu","-31.57687016607126","132.8519651709393","Thura-Yura"
"Wirra' Athoorree'. Wirrai' Yarrai'. Wirrach' aree'. Wirra' jerree'. ",,,
"Wirra' Athoorree'. Wirrai' Yarrai'. Wirrach' aree'. Wirra' jerree'. Continued",,,
"Woiwurrung","-37.64264500569947","145.5879961820568","Kulin"
"Wubuy","-13.8","135.82",""
"Wunambal","-15.0049668187093","125.5973866389213","Northern Worrorran"
"Yagara","-27.87647555019528","152.4602773478736","Durubulic"
"Yaggara","-27.87647555019528","152.4602773478736","Durubulic"
"Yan-nhaŋu","-12.02531880142025","134.9636468625033","Yolŋu"
"Yandruwandha","-27.60748621786918","140.5779751867449","Karnic"
"Yankunytjatjara","-27.26048661737739","131.9855272036765","Wati"
"Yawuru","-18.20094984476134","122.5732262509664","Eastern Nyulnyulan"
"Yaygir","-29.89","153.167","Gumbaynggiric"
"Yaygirr","-29.89","153.167","Gumbaynggiric"
"Yidiny","-17.11594422180313","145.7736813596025","Paman"
"Yindjibarndi","-22.10432211046865","118.0814646375919","Ngayarta"
"Yir-Yoront","-15.15400920818165","141.7960016852487","Paman"
"Yirandali","-20.65810117783444","143.9625915626368","Maric?"
"Yorta-Yorta","-36.04695549929136","144.818878928009","Yotayotic"
"Yotayota","-36.04695549929136","144.818878928009","Yotayotic"
"Yugambeh","-28.4374","153.301","Bandjalangic"
"Yugarabul","-29.15658250246399","151.1790320463189","Durubulic"
"Yuggarabul","-29.15658250246399","151.1790320463189","Durubulic"
"Yurlbaridja","-20.81469107208499","124.5495702350102","Wati"
"Yuwaalaraay","-29.85302243209663","147.9291115132208","Central NSW"
"Yuwaaliyaay","-29.84291122144783","149.806501013693","Central NSW"
